reference,citations_07_04_2026,year,n_sub,n_trials,antonyms,auditory_presentation,accuracy,experiment
"Siegel, Silverman, & Markel (1967)",10,1967,32,21,1,1,50.15,1
"Siegel, Silverman, & Markel (1967)",10,1967,32,21,1,1,55.95,2
"Siegel, Silverman, & Markel (1967)",10,1967,32,21,1,1,60.27,3
"Siegel, Silverman, & Markel (1967)",10,1967,29,21,1,1,56.97,4
"Siegel, Silverman, & Markel (1967)",10,1967,29,21,1,1,59.77,5
"Siegel, Silverman, & Markel (1967)",10,1967,29,21,1,1,60.91,6
Kunihara (1971),94,1971,71,23,1,1,58,1
Kunihara (1971),94,1971,66,23,1,1,63,2
Kunihara (1971),94,1971,58,23,1,0,57,3
Allport (1935),37,1935,NA,68,NA,NA,56.6,1
Rich (1953),13,1953,44,25,NA,1,57.2,1
Rich (1953),13,1953,44,25,NA,1,64.8,2
"Brown, Black, and Horowitz (1955)",302,1955,86,21,1,1,58.9,1
"Brown, Black, and Horowitz (1955)",302,1955,86,21,1,1,53.7,2
"Brown, Black, and Horowitz (1955)",302,1955,85,21,1,1,59.6,3
"Maltzman, Morrisett, and Brooks (1956)",92,1956,65,25,1,0,55.56,1
"Maltzman, Morrisett, and Brooks (1956)",92,1956,35,25,1,0,54.76,2
"Maltzman, Morrisett, and Brooks (1956)",92,1956,48,25,1,0,50.88,3
"Maltzman, Morrisett, and Brooks (1956)",92,1956,40,25,1,0,51.4,4
Brackbill and Little (1957),108,1957,40,50,0,1,49.6,1
Brackbill and Little (1957),108,1957,40,50,0,1,51.8,2
Brackbill and Little (1957),108,1957,40,50,0,0,51.7,3
Brackbill and Little (1957),108,1957,40,50,0,1,52.1,4
Brackbill and Little (1957),108,1957,40,50,0,1,51.6,5
Brackbill and Little (1957),108,1957,40,50,0,0,51.5,6
Brown and Nuttall (1959),102,1959,84,21,1,1,60.2,1
Brown and Nuttall (1959),102,1959,84,21,1,1,60.5,2
Brown and Nuttall (1959),102,1959,71,21,1,1,52.2,3
Brown and Nuttall (1959),102,1959,96,42,0,1,51.7,4
Brown and Nuttall (1959),102,1959,96,42,0,1,51.7,5
Weiss (1966),21,1966,294,28,0,0,53.8,1
Weiss (1963),19,1963,99,20,1,0,55.35,1
Weiss (1963),19,1963,101,20,0,0,55.72,2
Weiss (1963),19,1963,97,20,1,0,54.9,3
Weiss (1963),19,1963,97,20,0,0,55.6,4
"Klank, Huang & Johnson (1971)",55,1971,40,40,1,0,55.31,1
"Klank, Huang & Johnson (1971)",55,1971,40,40,0,0,56.06,2
"Klank, Huang & Johnson (1971)",55,1971,40,40,0,0,57,3
"Klank, Huang & Johnson (1971)",55,1971,40,38,0,0,50.79,4
"Klank, Huang & Johnson (1971)",55,1971,40,40,0,0,54.75,5
"Klank, Huang & Johnson (1971)",55,1971,40,39,1,0,53.14,6
Slobin (1968),46,1968,46,21,1,1,58,1
Slobin (1968),46,1968,46,21,1,0,60,2
Slobin (1968),46,1968,46,20,1,1,70,3
Slobin (1968),46,1968,46,20,1,0,69,4
Slobin (1968),46,1968,46,15,1,1,55,5
Baindurashvili (1967),3,1967,100,25,1,0,65.08,1
Baindurashvili (1967),3,1967,50,25,1,0,60.6,2
Baindurashvili (1967),3,1967,50,25,1,0,53.3,3
Baindurashvili (1967),3,1967,50,25,1,0,58,4
Baindurashvili (1967),3,1967,50,25,1,0,56.3,5
Baindurashvili (1967),3,1967,50,25,1,0,62.8,6
Baindurashvili (1967),3,1967,50,25,1,0,60.48,7
Baindurashvili (1967),3,1967,50,25,1,0,50,8
Baindurashvili (1967),3,1967,50,25,1,0,58.2,9
Baindurashvili (1967),3,1967,50,25,1,0,60.32,10
McMurray (1960),19,1960,76,12,1,0,74.7,1